01 Air	1	10,11
Medium	Ship Capacity	4	10,11
Dock	Cargo Capacity	5	10,11
Logistics	Cargo Capacity	6	10,11
Tank	Cargo Capacity	7	10,11
Vehicle	Cargo Capacity	8	10,11
Fast	Ship Mobility	9	10,11
Air-Cushioned (US)	Ship Mobility	10	10,11
Air-Cushioned (NATO)	Ship Mobility	11	10,11
Hydrofoil	Ship Mobility	12	10,11
Autonomous Control	USV Control	13	10,11
Remotely Piloted	USV Control	14	10,11
Expendable	USV Control	15	10,11
Cyberspace	Capability	16	11
35 Sea Subsurface	1	10,11
Unspecified		0	10,11
Antisubmarine Warfare	Mission Area	1	10,11
Auxiliary	Mission Area	2	10,11
Command and Control	Mission Area	3	10,11
"Intelligence, Surveillance, Reconnaissance"	Mission Area	4	10,11
Mine Countermeasures	Mission Area	5	10,11
Mine Warfare	Mission Area	6	10,11
Surface Warfare	Mission Area	7	10,11
Attack	Weapons Capability	8	10,11
Ballistic Missile	Weapons Capability	9	10,11
Guided Missile	Weapons Capability	10	10,11
Other Guided Missile	Weapons Capability	11	10,11
Special Operations Forces (SOF)	Asset Capability	12	10,11
Possible Submarine Low 1	Submarine Confidence	13	10,11
Possible Submarine Low 2	Submarine Confidence	14	10,11
Possible Submarine High 3	Submarine Confidence	15	10,11
Possible Submarine High 4	Submarine Confidence	16	10,11
Probable Submarine	Submarine Confidence	17	10,11
Certain Submarine	Submarine Confidence	18	10,11
Anti-torpedo Torpedo	Weapons Capability	19	10,11
Hijacking/Hijacked	Crime	20	10,11
Hijacker	Crime	21	11
Cyberspace	Capability	22	11
35 Sea Subsurface	2	10,11
Unspecified		0	10,11
Air Independent Propulsion	Ship Propulsion	1	10,11
"Diesel Electric, General"	Ship Propulsion	2	10,11
Diesel - Type 1	Ship Propulsion	3	10,11
Diesel - Type 2	Ship Propulsion	4	10,11
Diesel - Type 3	Ship Propulsion	5	10,11
"Nuclear Powered, General"	Ship Propulsion	6	10,11
Nuclear - Type 1	Ship Propulsion	7	10,11
Nuclear - Type 2	Ship Propulsion	8	10,11
Nuclear - Type 3	Ship Propulsion	9	10,11
Nuclear - Type 4	Ship Propulsion	10	10,11
Nuclear - Type 5	Ship Propulsion	11	10,11
Nuclear - Type 6	Ship Propulsion	12	10,11
Nuclear - Type 7	Ship Propulsion	13	10,11
Autonomous Control	UUV Control	14	10,11
Remotely Piloted	UUV Control	15	10,11
Expendable	UUV Control	16	10,11
Cyberspace	Capability	17	11
40 Activities	1	10,11
Unspecified		0	10,11
Assassination	Crime	1	10,11
Execution (Wrongful Killing)	Crime	2	10,11
Hijacking/Hijacked	Crime	3	10,11
House-to-House	Military Information Suppor Operationst	4	10,11
Kidnapping	Crime	5	10,11
Murder	Crime	6	10,11
Piracy	Crime	7	10,11
