00 Common	1	15,16
Unspecified		0	15,16
36 Mine Warfare	2	15,16
Unspecified		0	15,16
40 Activities	1	15,16
Unspecified		0	15,16
House-to-House	Military Information Support Operations	4	15,16
Murder	Crime	6	15,16
Written Military Information Support Operations	Military Information Support Operations	9	15,16
Pirate	Crime	10	15,16
FALSE	IED Category	11	15,16
Find	IED Category	12	15,16
Found and Cleared	IED Category	13	15,16
Hoax (Decoy)	IED Category	14	15,16
Attempted	Incident Qualifier	15	15,16
Incident	Incident Qualifier	17	15,16
Theft	Crime	18	15,16
Eviction	Incident Qualifier	21	15,16
Raid	Incident Qualifier	22	15,16
Gang	Organization	23	16
Meeting		24	15,16
40 Activities	2	15,16
Unspecified		0	15,16
Gang	Organization	3	16
Meeting		4	15,16
50 SIGINT	1	15,16
Unspecified		0	15,16
Anti-Aircraft Fire Control	Radar	1	15,16
Airborne Search and Bombing	Radar	2	15,16
Airborne Intercept	Radar	3	15,16
Altimeter	Radar	4	15,16
Airborne Reconnaissance and Mapping	Radar	5	15,16
Air Traffic Control	Radar	6	15,16
Beacon Transponder (not IFF)	Radar	7	15,16
Battlefield Surveillance	Radar	8	15,16
Controlled Approach	Radar	9	15,16
Controlled Intercept	Radar	10	15,16
Cellular/Mobile	Communications	11	15,16
Coastal Surveillance	Radar	12	15,16
Decoy/Mimic	Radar	13	15,16
Data Transmission	Radar	14	15,16
Earth Surveillance	Radar	15	15,16
Early Warning	Radar	16	15,16
Fire Control	Radar	17	15,16
Ground Mapping	Radar	18	15,16
Height Finding	Radar	19	15,16
Harbor Surveillance	Radar	20	15,16
Identification, Friend or Foe (Interrogator)	Radar	21	15,16
Instrument Landing System	Radar	22	15,16
Ionospheric Sounding	Radar	23	15,16
Identification, Friend or Foe (Transponder)	Radar	24	15,16
Barrage Jammer	Jammer	25	15,16
Click Jammer	Jammer	26	15,16
Deceptive Jammer	Jammer	27	15,16
Frequency Swept Jammer	Jammer	28	15,16
Jammer (general)	Jammer	29	15,16
Noise Jammer	Jammer	30	15,16
Pulsed Jammer	Jammer	31	15,16
Repeater Jammer	Jammer	32	15,16
Spot Noise Jammer	Jammer	33	15,16
Transponder Jammer	Jammer	34	15,16
Missile Acquisition	Radar	35	15,16
Missile Control	Jammer	36	15,16
Missile Downlink	Air Radar	37	15,16
Meteorological	Radar	38	15,16
Multi-Function	Jammer	39	15,16
Missile Guidance	Radar	40	15,16
Missile Homing	Radar	41	15,16
Missile Tracking	Jammer	42	15,16
Navigational/General	Jammer	43	15,16
Navigational/Distance Measuring Equipment	Jammer	44	15,16
Navigation/Terrain Following	Jammer	45	15,16
Navigational/Weather Avoidance	Jammer	46	15,16
Omni-Line of Sight (LOS)	Jammer	47	15,16
Proximity Use	Air Radar	48	15,16
Point-to-Point Line of Sight (LOS)	Communications	49	15,16
Instrumentation	Radar	50	15,16
Range Only	Radar	51	15,16
Sonobuoy	Radar	52	15,16
Satellite Downlink	Communications	53	15,16
Space	Radar	54	15,16
Surface Search	Radar	55	15,16
Shell Tracking	Land Radar	56	15,16
Satellite Uplink	Communications	57	15,16
